number,headline
1,"On his 55th birthday, Elon Musk makes an announcement for OpenAI CEO Sam Altman and Anthropic CEO Dario Amodei: Starting next month..."
2,"AI is Bengaluru's new style consultant, previewing haircuts and skincare before the salon visit"
3,"Erling Haaland and Isabel Haugseng Johansen combined net worth in 2026: Career earnings, endorsements, investments, lifestyle and more"
4,Firoz confirms Priyadarshan is out of Hera Pheri 3
5,'Awarapan 2' official teaser gets thumbs up
6,Saif on raising Taimur and Jeh with an open mind about religion
7,Kangana REACTS to claims she hurt Vir during KISSING scene
8,Vikas's mother recalls her son's painful childhood surgery
9,‘From Season 4’ ending explained
10,'House of the Dragon Season 3 Episode 2': Otto Hightower’s death
